,Accuracy,Precision,Recall,F1,AUC,N,Contamination,kappa
SOS,0.991,0.4,0.5714285714285714,0.47058823529411764,0.8669256222126314,1000.0,0.01,
SOS,0.941,0.4,0.40816326530612246,0.4040404040404041,0.8442241249812228,1000.0,0.05,
SOS,0.84,0.28,0.2413793103448276,0.25925925925925924,0.6666796692151661,1000.0,0.1,
SOS,0.9826,0.28,0.2153846153846154,0.24347826086956526,0.715018315018315,5000.0,0.01,
SOS,0.9254,0.328,0.2857142857142857,0.3054003724394786,0.700671506123991,5000.0,0.05,
SOS,0.8546,0.304,0.2862523540489642,0.2948593598448109,0.6538615673825839,5000.0,0.1,
SOS,0.9835,0.19,0.18446601941747573,0.18719211822660098,0.6748205546252616,10000.0,0.01,
SOS,0.9236,0.242,0.2391304347826087,0.24055666003976142,0.6361490219327206,10000.0,0.05,
SOS,0.8406,0.213,0.2088235294117647,0.2108910891089109,0.5797007511245033,10000.0,0.1,
LSCP,0.989,0.3,0.42857142857142855,0.3529411764705882,0.915839447561502,1000.0,0.01,
LSCP,0.947,0.46,0.46938775510204084,0.46464646464646464,0.849288611343591,1000.0,0.05,
LSCP,0.914,0.65,0.5603448275862069,0.6018518518518519,0.8043766578249336,1000.0,0.1,
LSCP,0.9842,0.36,0.27692307692307694,0.31304347826086953,0.8259527706336217,5000.0,0.01,
LSCP,0.9502,0.576,0.5017421602787456,0.5363128491620112,0.8694026678377178,5000.0,0.05,
LSCP,0.9078,0.57,0.536723163841808,0.5528612997090204,0.840433300927629,5000.0,0.1,
LSCP,0.9861,0.32,0.3106796116504854,0.31527093596059114,0.8584959058889081,10000.0,0.01,
LSCP,0.9542,0.548,0.541501976284585,0.5447316103379721,0.8787049611529145,10000.0,0.05,
LSCP,0.92,0.61,0.5980392156862745,0.6039603960396039,0.8628524171361194,10000.0,0.1,
